,xdata,Q,Qm,Wstart,Ctot,P,Ep,Ea
0,0,0.49,0.0,0.0,0.0,0.04,4.06,0.0
1,1,0.49,0.0,100.0,0.0,0.0,4.19,0.0
2,2,0.4,0.0,0.0,0.0,0.0,4.37,0.0
3,3,0.38,0.0,0.0,0.0,0.0,4.21,0.0
4,4,0.38,0.0,0.0,0.0,0.0,4.13,0.0
5,5,0.4,0.0,0.0,0.0,0.0,3.98,0.0
6,6,0.38,0.0,0.0,0.0,0.0,3.96,0.0
7,7,0.38,0.0,0.0,0.0,0.0,3.98,0.0
8,8,0.37,0.0,0.0,0.0,0.0,3.9,0.0
9,9,0.33,0.0,0.0,0.0,0.0,4.2,0.0
10,10,0.33,0.0,0.0,0.0,0.0,4.25,0.0
11,11,0.33,0.0,0.0,0.0,0.0,4.28,0.0
12,12,0.35,0.0,0.0,0.0,0.0,4.28,0.0
13,13,0.38,0.0,0.0,0.0,0.0,4.28,0.0
14,14,0.33,0.0,0.0,0.0,0.0,4.35,0.0
15,15,0.32,0.0,0.0,0.0,0.0,4.21,0.0
16,16,0.32,0.0,0.0,0.0,0.0,4.27,0.0
17,17,0.29,0.0,0.0,0.0,0.0,4.24,0.0
18,18,0.26,0.0,0.0,0.0,0.0,4.38,0.0
19,19,0.22,0.0,0.0,0.0,0.0,4.27,0.0
20,20,0.26,0.0,0.0,0.0,0.0,4.2,0.0
21,21,0.2,0.0,0.0,0.0,0.0,4.16,0.0
22,22,0.2,0.0,0.0,0.0,0.0,4.26,0.0
23,23,0.18,0.0,0.0,0.0,0.0,4.37,0.0
24,24,0.41,0.0,0.0,0.0,0.0,4.32,0.0
25,25,0.43,0.0,0.0,0.0,0.0,4.38,0.0
26,26,0.4,0.0,0.0,0.0,0.0,4.4,0.0
27,27,0.37,0.0,0.0,0.0,0.0,4.26,0.0
28,28,0.34,0.0,0.0,0.0,0.0,4.28,0.0
29,29,0.33,0.0,0.0,0.0,0.0,4.3,0.0
30,30,0.32,0.0,0.0,0.0,0.0,4.24,0.0
31,31,0.31,0.0,0.0,0.0,0.0,4.72,0.0
32,32,0.37,0.0,100.0,0.0,0.0,4.65,0.0
33,33,0.35,0.0,0.0,0.0,0.0,4.81,0.0
34,34,0.33,0.0,0.0,0.0,0.0,4.78,0.0
35,35,0.25,0.0,0.0,0.0,0.0,4.56,0.0
36,36,0.25,0.0,0.0,0.0,0.0,4.16,0.0
37,37,0.29,0.0,0.0,0.0,0.0,4.65,0.0
38,38,0.34,0.0,0.0,0.0,0.0,4.48,0.0
39,39,0.33,0.0,0.0,0.0,0.0,4.4,0.0
40,40,0.45,0.0,0.0,0.0,0.46,4.56,0.0
41,41,0.26,0.0,0.0,0.0,0.0,4.56,0.0
42,42,0.2,0.0,0.0,0.0,0.0,4.62,0.0
43,43,0.12,0.0,0.0,0.0,0.0,4.42,0.0
44,44,0.1,0.0,0.0,0.0,0.0,4.11,0.0
45,45,0.1,0.0,0.0,0.0,2.37,4.42,0.011377686901623378
46,46,0.13,6.004116548715948e-05,0.0,0.0,7.12,4.19,0.2580065236956567
47,47,0.22,0.0035874638449249698,0.0,0.0,3.48,4.32,0.37773573215534867
48,48,0.26,0.009678621180974296,0.0,0.0,0.87,4.29,0.38830117655927
49,49,0.21,0.008668314378216432,0.0,0.0,0.0,4.15,0.18111289243763745
50,50,0.26,0.005072691413539884,0.0,0.0,1.62,4.27,0.3625975936880103
51,51,0.29,0.002789980277446936,0.0,0.0,0.0,4.37,0.22397321527849923
52,52,0.26,0.0015344891525958149,0.0,0.0,0.0,4.59,0.3640181307498933
53,53,0.18,0.0008439690339276982,0.0,0.0,0.0,4.66,0.3534263157236754
54,54,0.13,0.00046418296866023394,0.0,0.0,0.0,4.78,0.3465183339738083
55,55,0.11,0.00025530063276312865,0.0,0.0,0.0,4.76,0.3295065107689058
56,56,0.08,0.00014041534801972078,0.0,0.0,0.0,5.12,0.33858249606211777
57,57,0.08,7.722844141084642e-05,0.0,0.0,0.0,4.97,0.31293301135399265
58,58,0.08,4.247564277596553e-05,0.0,0.0,0.0,4.86,0.29186195407045096
59,59,0.11,2.3361603526781044e-05,0.0,0.0,0.0,4.89,0.28045572352823245
60,60,0.08,1.2848881939729573e-05,200.0,0.0,0.0,4.94,0.2705657741100339
61,61,0.07,7.066885066851265e-06,0.0,0.0,0.0,4.8,0.25100002571178487
62,62,0.08,3.886786786768195e-06,0.0,0.0,0.0,4.82,0.24102002517483703
63,63,0.05,2.1377327327225077e-06,0.0,0.0,0.0,4.52,0.21614163205282003
64,64,0.0,1.175753002997379e-06,0.0,0.0,0.0,4.13,0.18944092762650117
65,65,0.0,0.004150711464155287,0.0,0.0,9.26,4.16,0.4299040456440879
66,66,0.81,0.02988780469933308,0.0,0.0,9.83,4.07,0.7226694898609911
67,67,0.38,0.053924699432961645,0.0,0.0,0.04,4.43,0.7502902556144267
68,68,0.21,0.03903795126699842,0.0,0.0,1.1,4.64,0.7919661505809096
69,69,0.3,0.05637839162421046,0.0,0.0,6.0,4.49,0.9372091585956519
70,70,0.26,0.10551033495544793,0.0,0.0,4.42,4.71,1.0861137591138654
71,71,0.33,0.11587470089874033,0.0,0.0,0.75,4.61,1.0315587686761645
72,72,0.3,0.07853617318396044,0.0,0.0,0.0,4.54,0.5299741378667617
73,73,0.17,0.04427988860190564,0.0,0.0,0.0,4.63,0.9665387744836199
74,74,0.19,0.024353938731048096,0.0,0.0,0.0,4.44,0.8869801240206638
75,75,0.18,0.015100011491246476,0.0,0.0,2.37,4.74,0.9190189454496472
76,76,0.52,0.02654722681139031,0.0,0.0,2.91,4.62,0.9573415719584598
77,77,0.31,0.052017021750124084,0.0,0.0,1.67,4.84,1.0146698523874595
78,78,0.39,0.04918209477352483,0.0,0.0,0.0,4.76,0.5387875586350882
79,79,0.28,0.02907579872896225,0.0,0.0,0.0,4.7,0.9147139631534796
80,80,0.31,0.015991689300929236,0.0,0.0,0.0,4.79,0.8922800971630371
81,81,0.16,0.00879542911551108,0.0,0.0,0.0,4.7,0.8374754060154233
82,82,0.16,0.004837486013531094,0.0,0.0,0.0,4.82,0.8224380592566052
83,83,0.14,0.002660617307442102,0.0,0.0,0.39,4.69,0.7656414194142875
84,84,0.14,0.001463339519093156,0.0,0.0,0.0,4.51,0.6444374152995438
85,85,0.11,0.0008048367355012358,0.0,0.0,0.5,4.64,0.6992297918672211
86,86,0.18,0.004917273542934012,0.0,0.0,2.85,4.63,0.7157967173634172
87,87,0.1,0.010822343967154105,0.0,0.0,0.0,4.71,0.3919788827884
88,88,0.11,0.006899117364341961,0.0,0.0,0.0,4.51,0.6515478027163394
89,89,0.11,0.0037945145503880777,0.0,0.0,0.0,4.61,0.6396742348999414
90,90,0.11,0.002086983002713443,0.0,0.0,0.31,4.98,0.6632552787669591
91,91,0.11,0.0011478406514923937,100.0,0.0,0.82,4.88,0.6218970019919304
92,92,0.1,0.0006313123583208165,0.0,0.0,0.0,4.81,0.4492696611992963
93,93,0.15,0.00034722179707644905,0.0,0.0,0.0,4.94,0.5841000099482297
94,94,0.14,0.00019097198839204698,0.0,0.0,0.0,4.97,0.5629306900398182
95,95,0.15,0.011037384541966963,0.0,0.0,6.98,4.97,0.7350410954610482
96,96,0.16,0.025904030774380832,0.0,0.0,0.0,5.01,0.4148575796937932
97,97,0.15,0.0165605021749806,0.0,0.0,0.0,5.22,0.7152547108119469
98,98,0.13,0.00910827619623933,0.0,0.0,0.0,4.91,0.6423796504140517
99,99,0.07,0.010545898304823418,0.0,0.0,4.05,4.89,0.6898744443117811
100,100,0.07,0.01584428370089396,0.0,0.0,0.0,5.09,0.4080550063061468
101,101,0.07,0.00988584693307398,0.0,0.0,0.0,5.37,0.7042928683079573
102,102,0.07,0.005437215813190689,0.0,0.0,0.0,5.09,0.6368101076435186
103,103,0.07,0.0029904686972548793,0.0,0.0,0.0,5.26,0.6295379657275686
104,104,0.07,0.0016447577834901835,0.0,0.0,0.0,4.78,0.5466242016346721
105,105,0.06,0.0009046167809196009,0.0,0.0,0.68,5.01,0.5499121151930819
106,106,0.06,0.0004975392295057805,0.0,0.0,0.0,4.85,0.43856764578864904
107,107,0.02,0.00027364657622817927,0.0,0.0,0.0,4.98,0.5056445397047916
108,108,0.02,0.00015050561692549858,0.0,0.0,0.0,5.18,0.5043628529739832
109,109,0.02,8.277808930902422e-05,0.0,0.0,0.0,5.13,0.4783201378112229
110,110,0.03,4.552794911996332e-05,0.0,0.0,0.0,5.26,0.4700042991383774
111,111,0.05,2.5040372015979827e-05,0.0,0.0,0.0,5.06,0.4329601196384717
112,112,0.02,0.0023929120340681243,0.0,0.0,3.68,4.93,0.46963796899055454
113,113,0.04,0.006975130335393865,0.0,0.0,0.78,4.95,0.4829028793702469
114,114,0.07,0.006775843164852835,0.0,0.0,0.0,4.96,0.27111186146094235
115,115,0.07,0.005906260136295536,0.0,0.0,3.16,5.1,0.5108359680353545
116,116,0.13,0.029194106551566977,0.0,0.0,12.13,4.81,0.9313929268642528
117,117,0.13,0.08416843298314508,0.0,0.0,5.28,4.92,1.1006040015799343
118,118,0.24,0.23981922351051235,0.0,0.0,22.02,4.92,1.8432787819557217
119,119,0.26,0.39736479397561314,0.0,0.0,0.42,5.32,1.8594037517382547
120,120,0.25,0.2586725114065918,0.0,0.0,0.0,5.43,1.1187351633456246
121,121,0.1,0.14349427271133586,100.0,0.0,0.0,5.05,1.624745353720712
122,122,0.11,0.07892184999123471,0.0,0.0,0.0,5.06,1.5530520021982135
123,123,0.12,0.06385103027931091,0.0,0.0,4.02,4.99,1.5281308518223122
124,124,0.08,0.18738175628697223,0.0,0.0,11.17,5.02,1.8444074739155665
125,125,0.13,0.44213605921026616,0.0,0.0,9.42,4.64,1.8675776713762817
126,126,0.13,0.5016914905890011,0.0,0.0,0.38,4.75,1.7977941239735162
127,127,0.16,0.313285035646802,0.0,0.0,0.0,5.04,1.0781445124315319
128,128,0.09,0.17355887277010293,0.0,0.0,0.0,5.35,1.8836874616656922
129,129,0.09,0.10346023519470002,0.0,0.0,2.68,5.29,1.7946988688845738
130,130,0.13,0.10904980659155031,0.0,0.0,3.1,5.27,1.8091347366943717
131,131,0.18,0.12993532921176337,0.0,0.0,0.0,4.57,0.8143813442446828
132,132,0.17,0.07942649415270776,0.0,0.0,0.0,4.49,1.4244687806049445
133,133,0.2,0.04368457178398927,0.0,0.0,0.0,4.69,1.4290925268552226
134,134,0.2,0.024026514481194097,0.0,0.0,0.0,4.93,1.4405371222232932
135,135,0.16,0.013214582964656755,0.0,0.0,0.0,5.0,1.3983082215761993
136,136,0.13,0.007268020630561215,0.0,0.0,0.0,5.17,1.3833384071511459
137,137,0.12,0.003997411346808668,0.0,0.0,0.0,5.17,1.3219035678585138
138,138,0.13,0.03863209551394392,0.0,0.0,6.72,5.11,1.4224409251686385
139,139,0.16,0.12792127767667272,0.0,0.0,4.61,5.03,1.4911854106703573
140,140,0.2,0.3363284661267658,0.0,0.0,18.99,5.24,2.168943760272272
141,141,0.33,0.5285577747166715,0.0,0.0,0.0,4.97,1.1097269235423044
142,142,0.29,0.32977862518983037,0.0,0.0,0.61,5.04,1.8723677169394375
143,143,0.26,0.18137824385440665,0.0,0.0,0.0,5.32,1.6718616368200618
144,144,0.25,0.09975803411992365,0.0,0.0,0.0,4.62,1.5721028621921467
145,145,0.21,0.21237483615425407,0.0,0.0,14.85,4.8,1.9770667121685004
146,146,0.26,0.5139535006045083,0.0,0.0,7.0,4.75,2.0255924435613846
147,147,0.3,0.5283711206301032,0.0,0.0,0.6,4.34,1.7545050053532927
148,148,0.13,0.3328120373734814,0.0,0.0,0.0,4.54,0.9624614673831954
149,149,0.11,0.45229159172554556,0.0,0.0,19.04,4.38,3.132510256839079
150,150,0.26,0.8996271332912887,0.0,0.0,8.12,4.16,2.0528245294182117
151,151,1.1,2.6267401635398073,0.0,0.0,79.49,3.46,3.838188446439535
152,152,4.57,5.847024550277254,400.0,2.3264716807892274,24.87,3.15,3.20519155177671
153,153,2.6,7.7154003825088475,0.0,0.0,45.79,3.35,3.5497355349815374
154,154,2.78,8.275717095896427,0.0,0.0,1.17,4.32,3.9847011413417457
155,155,1.56,5.3663225745743315,0.0,0.0,4.36,4.32,3.932865835563476
156,156,1.07,3.4867852777316077,0.0,0.0,2.04,3.9,3.4491466240651927
157,157,1.53,3.00065149987552,0.0,0.0,20.37,3.59,3.370516449073687
158,158,2.41,3.6377344877400226,0.0,0.0,10.6,3.55,3.2522600385161953
159,159,1.79,3.866151844070996,0.0,0.0,20.06,4.1,3.89156395660029
160,160,2.36,4.150362178916527,0.0,0.0,8.54,3.95,3.6112890438200447
161,161,4.03,4.5460766928198435,0.0,0.0,32.99,2.96,2.9552955603530213
162,162,8.23,6.165768653901305,0.0,0.0,23.67,3.27,3.2372437939537138
163,163,5.07,6.589400072625077,0.0,0.0,19.41,3.75,3.6736034231847747
164,164,11.87,7.808954532469712,0.0,0.0,49.92,4.02,4.342737028960352
165,165,17.07,11.230815315146465,0.0,0.0,53.45,3.79,4.180532017920222
166,166,24.23,14.406958695164699,0.0,0.0,60.09,3.53,3.9819201177890124
167,167,28.48,16.915949129370052,0.0,0.0,57.44,2.78,3.1258557473177255
168,168,30.61,18.71227511197792,0.0,0.0,64.27,3.14,3.6018665225693467
169,169,22.78,18.96462444522834,0.0,0.0,34.53,3.34,3.549220191517887
170,170,20.85,18.897702300917466,0.0,0.0,82.78,3.68,4.423522058179175
171,171,28.13,19.164094137339735,0.0,0.0,7.6,3.64,3.612796410964192
172,172,17.31,14.563071350116353,0.0,0.0,37.33,3.21,3.4159960817141126
173,173,21.65,14.827134100074932,0.0,0.0,56.31,3.11,3.489140185735137
174,174,23.81,16.261402746089615,0.0,0.0,39.95,3.32,3.5782340160161086
175,175,37.66,15.792693085989136,0.0,0.0,38.06,3.36,3.5909704259784117
176,176,46.3,15.218693284309833,0.0,0.0,38.89,3.37,3.6056010958575055
177,177,44.71,14.041048014716534,0.0,0.0,20.24,3.37,3.415474198883877
178,178,38.51,11.454042586634214,0.0,0.0,14.57,3.72,3.6779513401152517
179,179,25.43,8.983914490938526,0.0,0.0,8.07,4.15,3.975406150386782
180,180,15.4,6.638889818685692,0.0,0.0,0.99,4.05,3.721243013130533
181,181,11.47,4.795033561390981,0.0,0.0,4.04,3.7,3.365936474334972
182,182,9.68,4.1043628007856565,0.0,0.0,8.28,3.63,3.315579442269569
183,183,26.92,8.176692937912552,0.0,0.0,108.54,3.53,4.580681820466384
184,184,40.37,19.268431057569593,0.0,0.0,106.46,3.71,4.610490785418612
185,185,44.78,26.151428383220825,0.0,0.0,67.4,3.47,3.950063886567192
186,186,42.07,24.570461572843357,0.0,0.0,40.26,4.1,4.501338070799398
187,187,38.84,20.479194504509206,0.0,0.0,27.47,3.45,3.579953740110229
188,188,29.72,15.917859390712191,0.0,0.0,12.35,3.56,3.511389559728835
189,189,21.16,11.988335527620078,0.0,0.0,14.95,3.18,3.127814005790662
190,190,17.26,10.072063995881004,0.0,0.0,19.71,2.91,2.89434498669386
191,191,26.13,10.10311155309287,0.0,0.0,34.0,3.38,3.5231617469394565
